"playerID","AB_2021","AB_2020","H_2021","H_2020","BA_2021","BA_2020"
"sanchga02",383,156,78,23,0.203655352480418,0.147435897435897
"sandopa01",73,84,13,18,0.178082191780822,0.214285714285714
"sanomi01",470,186,105,38,0.223404255319149,0.204301075268817
"santaan02",406,153,98,40,0.241379310344828,0.261437908496732
"santaca01",565,206,121,41,0.214159292035398,0.199029126213592
"santada01",116,55,21,8,0.181034482758621,0.145454545454545
"schoojo01",623,162,173,45,0.2776886035313,0.277777777777778
"schwaky01",399,191,106,36,0.265664160401002,0.18848167539267
"seageco01",353,212,108,65,0.305949008498584,0.306603773584906
"seageky01",603,203,128,49,0.212271973466003,0.241379310344828
"segurje01",514,192,149,51,0.28988326848249,0.265625
"semiema01",652,211,173,47,0.265337423312883,0.222748815165877
"senzeni01",111,70,28,13,0.252252252252252,0.185714285714286
"severpe01",379,160,94,40,0.24802110817942,0.25
"shawtr01",220,163,44,39,0.2,0.239263803680982
"simmoan01",412,118,92,35,0.223300970873786,0.296610169491525
"siscoch01",74,98,11,21,0.148648648648649,0.214285714285714
"slateau01",274,85,66,24,0.240875912408759,0.282352941176471
"smithdo02",446,177,109,56,0.244394618834081,0.31638418079096
"smithwi05",414,114,107,33,0.258454106280193,0.289473684210526
"sogarer01",169,115,42,24,0.248520710059172,0.208695652173913
"solakni01",458,209,111,56,0.24235807860262,0.267942583732057
"solando01",307,190,86,62,0.280130293159609,0.326315789473684
"solerjo01",516,149,115,34,0.222868217054264,0.228187919463087
"sotoju01",502,154,157,54,0.312749003984064,0.350649350649351
"springe01",299,189,79,50,0.264214046822742,0.264550264550265
"stallja01",374,125,92,31,0.245989304812834,0.248
"stantmi03",510,76,139,19,0.272549019607843,0.25
"stassma01",282,90,68,25,0.24113475177305,0.277777777777778
"stewadj01",270,88,55,17,0.203703703703704,0.193181818181818
"storytr01",526,235,132,68,0.250950570342205,0.28936170212766
"strawmy01",564,82,153,17,0.271276595744681,0.207317073170732
"suareeu01",505,198,100,40,0.198019801980198,0.202020202020202
"suzukku01",219,111,49,30,0.223744292237443,0.27027027027027
"swansda01",588,237,146,65,0.248299319727891,0.274261603375527
"tapiara01",487,184,133,59,0.273100616016427,0.320652173913043
"tatisfe02",478,224,135,62,0.282426778242678,0.276785714285714
"tauchmi01",166,95,30,23,0.180722891566265,0.242105263157895
"taverle01",174,119,28,27,0.160919540229885,0.226890756302521
"tayloch03",507,185,129,50,0.254437869822485,0.27027027027027
"taylomi02",483,92,118,18,0.244306418219462,0.195652173913043
"tellero01",297,113,72,32,0.242424242424242,0.283185840707965
"toroab01",335,87,80,13,0.238805970149254,0.149425287356322
"torregl01",459,136,119,33,0.259259259259259,0.242647058823529
"torrelu01",346,70,84,18,0.242774566473988,0.257142857142857
"trevijo01",285,76,68,19,0.23859649122807,0.25
"troutmi01",117,199,39,56,0.333333333333333,0.281407035175879
