season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,plot_group,constructor_n,circuit_n
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,2,1,21.407,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,3,2,22.551,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,norris,22,3,26.952,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,2,1,21.275,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,3,2,22.24,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ocon,22,3,27.033,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,2,1,21.89,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,3,2,22.1,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,51,3,26.607,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,2,1,21.965,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,3,2,22.355,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,41,3,28.639,mclaren,0,0,0,27.0872,1,0,Excluded: abnormal long stop,270,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,2,1,23.532,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,3,2,22.755,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,28,3,26.843,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,2,1,22.029,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,3,2,22.244,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,21,3,25.892,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,2,1,22.264,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,3,2,22.176,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,39,3,26.027,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,2,1,22.266,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,3,2,22.542,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,21,3,26.202,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,vettel,2,1,21.398,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,vettel,3,2,21.75,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,vettel,22,3,26.62,aston_martin,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,alonso,21,1,22.043,alpine,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,249,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,alonso,61,2,23.479,alpine,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,249,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,bottas,23,1,22.311,mercedes,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,278,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,bottas,53,2,21.638,mercedes,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,278,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,gasly,18,1,28.042,alphatauri,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,202,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,gasly,47,2,26.065,alphatauri,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,202,172
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,giovinazzi,8,1,54.673,alfa,0,0,0,26.945999999999998,1,0,Excluded: abnormal long stop,194,172
