season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,result_status_text,damage_crash_proxy,penalty_text_proxy,track_status,under_safety_car,under_yellow_flag,under_red_flag,under_any_non_green,race_has_safety_car,race_safety_car_lap_share,race_has_yellow_flag,race_has_red_flag,race_q95_stop,very_short_stop_proxy,abnormal_long_stop_proxy,penalty_duration_proxy,penalty_proxy,point_type,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,tsunoda,32,2,1.491384,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,202,69,23.062600909497124,4.419993165958519,-21.571216909497124,-2.9286091659585187
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,vettel,32,4,1.452323,aston_martin,Gearbox,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,271,69,23.540280649966427,6.59780542174931,-22.087957649966427,-5.1454824217493105
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,2,1,21.452,alpine,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,249,60,23.62938218744925,23.591866586556208,-2.177382187449247,-2.139866586556206
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,3,2,21.621,alpine,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,249,60,23.62938218744925,23.745565869680366,-2.00838218744925,-2.1245658696803673
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,40,3,26.442,alpine,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,249,60,23.62938218744925,24.306318577591924,2.8126178125507515,2.1356814224080765
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,2,1,21.377,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,23.314449003029544,-2.431064843630221,-1.9374490030295455
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,3,2,22.072,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,23.468148286153706,-1.7360648436302206,-1.3961482861537071
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,36,3,26.938,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,24.02035744534512,3.129935156369779,2.917642554654879
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,63,4,26.573,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,278,60,23.80806484363022,25.562687409157885,2.7649351563697806,1.0103125908421156
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,2,1,21.353,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,202,60,23.147245820800602,23.173589448079298,-1.794245820800601,-1.8205894480792963
