season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,safety_car_pit_lap,race_q95_stop,abnormal_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,3,2,21.621,alpine,0,27.0872,1,249,60,23.62938218744925,23.231913016196355,-2.00838218744925,-1.6109130161963563
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,40,3,26.442,alpine,0,27.0872,1,249,60,23.62938218744925,24.570150330536,2.8126178125507515,1.8718496694640017
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,2,1,21.377,mercedes,0,27.0872,1,278,60,23.80806484363022,23.27944737418691,-2.431064843630221,-1.9024473741869095
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,3,2,22.072,mercedes,0,27.0872,1,278,60,23.80806484363022,22.97203446838762,-1.7360648436302206,-0.90003446838762
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,36,3,26.938,mercedes,0,27.0872,1,278,60,23.80806484363022,24.23796990980616,3.129935156369779,2.700030090193838
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,63,4,26.573,mercedes,0,27.0872,1,278,60,23.80806484363022,27.111130386639207,2.7649351563697806,-0.5381303866392066
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,2,1,21.353,alphatauri,0,27.0872,1,202,60,23.147245820800602,23.309160366893273,-1.794245820800601,-1.9561603668932719
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,3,2,22.319,alphatauri,0,27.0872,1,202,60,23.147245820800602,23.001747461093984,-0.8282458208006034,-0.6827474610939852
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,24,3,26.172,alphatauri,0,27.0872,1,202,60,23.147245820800602,24.050777283749202,3.024754179199398,2.1212227162507986
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,2,1,22.485,alfa,0,27.0872,1,194,60,23.603841028034257,23.654250336826195,-1.1188410280342573,-1.1692503368261953
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,3,2,22.669,alfa,0,27.0872,1,194,60,23.603841028034257,23.346837431026906,-0.9348410280342563,-0.6778374310269051
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,22,3,26.729,alfa,0,27.0872,1,194,60,23.603841028034257,24.35971631722157,3.1251589719657424,2.3692836827784305
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,2,1,22.426,mercedes,0,27.0872,1,278,60,23.80806484363022,23.27944737418691,-1.3820648436302214,-0.85344737418691
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,3,2,22.164,mercedes,0,27.0872,1,278,60,23.80806484363022,22.97203446838762,-1.6440648436302183,-0.8080344683876177
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,37,3,26.907,mercedes,0,27.0872,1,278,60,23.80806484363022,24.256045378036433,3.0989351563697802,2.6509546219635673
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,2,1,21.97,williams,0,27.0872,1,271,60,24.658894422135152,23.73892681814416,-2.688894422135153,-1.7689268181441626
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,3,2,21.73,williams,0,27.0872,1,271,60,24.658894422135152,23.431513912344872,-2.9288944221351514,-1.701513912344872
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,24,3,26.595,williams,0,27.0872,1,271,60,24.658894422135152,24.48054373500009,1.936105577864847,2.114456264999909
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,2,1,21.323,ferrari,0,27.0872,1,259,60,23.43702977125106,23.070750048728023,-2.114029771251058,-1.7477500487280224
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,3,2,22.587,ferrari,0,27.0872,1,259,60,23.43702977125106,22.763337142928734,-0.8500297712510587,-0.17633714292873393
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,25,3,27.082,ferrari,0,27.0872,1,259,60,23.43702977125106,23.830442433814227,3.6449702287489423,3.251557566185774
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,2,1,22.718,red_bull,0,27.0872,1,292,60,23.35989949294445,22.670833265132273,-0.6418994929444501,0.04716673486772649
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,3,2,22.104,red_bull,0,27.0872,1,292,60,23.35989949294445,22.363420359332984,-1.255899492944451,-0.25942035933298513
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,35,3,26.743,red_bull,0,27.0872,1,292,60,23.35989949294445,23.611280332521243,3.3831005070555484,3.1317196674787553
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,64,4,26.319,red_bull,0,27.0872,1,292,60,23.35989949294445,26.520591745814844,2.959100507055549,-0.20159174581484507
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,2,1,21.372,haas,0,27.0872,1,272,60,24.8074441540668,24.353510057621385,-3.4354441540668006,-2.981510057621385
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,3,2,21.404,haas,0,27.0872,1,272,60,24.8074441540668,24.046097151822096,-3.4034441540668006,-2.642097151822096
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,31,3,27.186,haas,0,27.0872,1,272,60,24.8074441540668,25.22165525208925,2.3785558459331995,1.9643447479107508
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,43,4,26.984,haas,0,27.0872,1,272,60,24.8074441540668,27.823683705468145,2.1765558459332013,-0.8396837054681434
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,2,1,22.019,haas,0,27.0872,1,272,60,24.8074441540668,24.353510057621385,-2.788444154066802,-2.3345100576213866
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,3,2,21.454,haas,0,27.0872,1,272,60,24.8074441540668,24.046097151822096,-3.3534441540668,-2.592097151822095
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,32,3,27.245,haas,0,27.0872,1,272,60,24.8074441540668,25.239730720319525,2.4375558459332005,2.0052692796804763
