season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,3,2,22.072,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.492364269327453,-1.7360648436302206,-1.4203642693274539
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,36,3,26.938,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.962190294755665,3.129935156369779,2.975809705244334
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,63,4,26.573,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,25.46281128157064,2.7649351563697806,1.1101887184293595
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,2,1,21.353,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.20252978917797,-1.794245820800601,-1.8495297891779678
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,3,2,22.319,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.377024381845384,-0.8282458208006034,-1.0580243818453852
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,24,3,26.172,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.83940441019382,3.024754179199398,2.332595589806182
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,2,1,22.485,alfa,0,0,0,27.0872,1,0,194,60,23.603841028034257,23.58874939393493,-1.1188410280342573,-1.1037493939349297
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,3,2,22.669,alfa,0,0,0,27.0872,1,0,194,60,23.603841028034257,23.763243986602344,-0.9348410280342563,-1.0942439866023435
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,22,3,26.729,alfa,0,0,0,27.0872,1,0,194,60,23.603841028034257,24.22438301543748,3.1251589719657424,2.504616984562521
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,2,1,22.426,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.317869676660038,-1.3820648436302214,-0.8918696766600398
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,3,2,22.164,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.492364269327453,-1.6440648436302183,-1.3283642693274516
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,37,3,26.907,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.96281079451231,3.0989351563697802,2.944189205487689
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,2,1,21.97,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,23.69709927671666,-2.688894422135153,-1.727099276716661
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,3,2,21.73,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,23.871593869384075,-2.9288944221351514,-2.1415938693840744
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,24,3,26.595,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,24.33397389773251,1.936105577864847,2.26102610226749
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,2,1,21.323,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.06774964512396,-2.114029771251058,-1.7447496451239601
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,3,2,22.587,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.242244237791375,-0.8500297712510587,-0.6552442377913756
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,25,3,27.082,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.705244765896456,3.6449702287489423,3.3767552341035447
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,2,1,22.718,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,22.746087782398334,-0.6418994929444501,-0.02808778239833387
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,3,2,22.104,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,22.92058237506575,-1.255899492944451,-0.8165823750657495
